,Gender,Age,AgeGroup,Married,Dependents,noDependents,Referrals,noReferrals,PaperlessBilling,PaymentMethod,OnlineSecurity,OnlineBackup,TechSupport,UnlimitedData,AvgDownloadGB,ChurnLabel,ChurnScore,CustomerLTV,SatisScore,TotalExtraDataCharge,AvgRoamCharge,TotalRoamCharge,TenureMonths,AvgCharge,TotalCharge,TotalRevenue,MonthRoamCharge,AvgExtraDataCharge,AvgRevenue
0,1,37,30대,1,0,0,1,2,1,1,0,1,1,1,16,0,65,2205,3,0,47910,431100,21,83590.47619047618,1755400,2186500,20528,0,104119
1,0,46,40대,0,0,0,0,0,0,1,0,0,0,0,10,0,66,5414,5,11300,12090,108710,21,68928.57142857143,1447500,1567510,5176,538,74643
2,0,50,50대,0,0,0,0,0,1,0,0,0,0,1,30,1,71,4479,1,0,38080,152100,4,98180.0,490900,643000,38025,0,160750
3,0,78,70대,1,0,0,1,1,1,0,0,1,0,1,4,1,99,3714,1,0,31410,408720,13,112742.85714285714,1578400,1987120,31440,0,152855
4,1,75,70대,1,0,0,1,3,1,1,0,0,1,1,11,1,68,3464,1,0,8360,24970,3,94500.0,378000,402970,8323,0,134323
5,1,23,20대,0,1,1,0,0,1,1,0,0,1,1,73,0,55,5108,3,0,18980,170520,21,81852.38095238095,1718900,1889420,8120,0,89972
6,1,67,60대,1,0,0,1,1,1,0,1,1,1,1,14,0,26,5011,3,0,11300,799140,83,129451.80722891568,10744500,11543640,9628,0,139080
7,0,52,50대,1,0,0,1,8,1,1,1,0,1,0,7,0,49,4604,4,22600,14690,922650,75,99408.0,7455600,8400850,12302,301,112011
8,1,68,60대,0,0,0,0,0,1,0,1,0,0,1,21,0,34,5525,3,0,11870,83280,19,57815.78947368421,1098500,1181780,4383,0,62198
9,1,43,40대,1,1,1,1,3,1,1,1,1,1,1,14,0,25,5509,3,0,32210,2090390,77,106314.28571428572,8186200,10276590,27147,0,133462
10,0,47,40대,0,0,0,0,0,0,1,1,0,1,1,10,0,54,5435,4,0,0,0,66,53006.06060606061,3498400,3498400,0,0,53006
11,1,25,20대,1,1,2,1,2,1,1,1,1,1,1,59,0,52,6252,3,0,18080,1302550,84,136686.90476190476,11481700,12784250,15506,0,152193
12,1,58,50대,1,0,0,0,0,1,0,0,0,0,1,10,0,57,5536,3,0,21130,105430,17,79111.76470588235,1344900,1450330,6201,0,85313
13,1,32,30대,0,0,0,0,0,1,0,1,1,0,1,16,0,53,5513,3,0,2600,183060,84,118872.61904761904,9985300,10168360,2179,0,121051
14,1,39,30대,0,0,0,0,0,0,0,1,1,1,1,19,0,37,5795,3,0,0,0,68,52866.17647058824,3594900,3594900,0,0,52866
15,1,58,50대,1,1,2,1,9,1,1,0,1,0,1,12,0,26,4865,5,0,30850,2187120,83,112690.36144578311,9353300,11540420,26350,0,139041
16,1,52,50대,1,1,1,0,0,0,1,1,0,1,1,20,0,37,3607,4,0,0,0,46,71863.04347826086,3305700,3305700,0,0,71863
17,1,72,70대,0,0,0,0,0,1,0,0,0,0,1,22,0,50,4432,4,0,8810,8810,13,80761.53846153847,1049900,1058710,677,0,81439
18,0,79,70대,0,0,0,0,0,0,1,1,0,0,1,17,1,92,2654,1,0,12090,542630,45,73113.04347826086,3363200,3905830,12058,0,86796
19,0,67,60대,0,0,0,0,0,1,0,0,0,0,1,9,1,85,5437,3,0,0,0,1,27800.0,55600,55600,0,0,55600
20,1,79,70대,1,0,0,0,0,0,0,0,0,0,0,0,0,61,4015,3,0,35480,1775800,62,29087.09677419355,1803400,3579200,28641,0,57729
21,1,26,20대,1,0,0,1,1,0,0,0,1,0,1,52,1,75,2973,1,0,49270,639920,13,112850.0,1579900,2219820,49224,0,170755
22,1,30,30대,1,1,2,1,1,1,0,0,0,0,1,30,0,78,3585,4,0,39440,907280,35,96962.85714285714,3393700,4300980,25922,0,122885
23,1,22,20대,0,0,0,0,0,0,1,0,0,0,0,0,0,59,5634,4,0,3500,10620,15,22760.0,341400,352020,708,0,23468
24,1,34,30대,1,0,0,0,0,0,1,0,0,0,0,0,1,81,4133,1,0,14010,56160,4,23740.0,118700,174860,14040,0,43715
25,1,37,30대,1,1,3,1,10,1,0,0,1,1,0,57,0,65,5892,3,22600,39550,2177740,67,121605.97014925371,8147600,10347940,32503,337,154446
26,0,42,40대,1,1,3,1,3,0,1,0,0,0,0,0,0,60,6393,4,0,22260,1202090,66,24392.424242424244,1609900,2811990,18213,0,42605
27,0,64,60대,0,0,0,0,0,1,0,0,0,0,0,0,0,26,3722,4,0,42600,1107630,38,23247.36842105263,883400,1991030,29148,0,52395
28,1,47,40대,1,1,3,1,5,0,0,0,0,0,0,0,0,76,4131,5,0,43390,2993260,81,23365.432098765432,1892600,4885860,36953,0,60319
29,0,23,20대,0,0,0,1,1,0,1,0,0,0,1,51,0,55,5263,5,0,48590,1798280,49,107893.8775510204,5286800,7085080,36699,0,144593
30,1,48,40대,1,0,0,1,5,0,0,0,0,0,0,0,0,20,6061,3,0,56050,2745220,61,24173.77049180328,1474600,4219820,45003,0,69177
31,0,28,20대,1,0,0,1,9,0,0,1,1,1,1,41,0,42,5845,3,0,49490,3264340,78,135732.05128205128,10587100,13851440,41850,0,177582
32,1,28,20대,0,0,0,0,0,0,0,0,0,0,0,0,0,72,5462,5,0,26100,1750370,79,24270.886075949365,1917400,3667770,22156,0,46427
33,0,33,30대,1,1,1,1,4,1,1,1,0,1,1,22,0,29,3899,3,0,0,0,32,46259.375,1480300,1480300,0,0,46259
34,1,31,30대,0,1,3,0,0,1,0,0,0,0,0,0,0,59,4797,4,0,34580,1488780,55,29249.090909090908,1608700,3097480,27068,0,56317
35,1,37,30대,1,0,0,1,2,1,0,1,0,0,1,9,0,42,5875,3,0,5760,315720,67,106005.97014925371,7102400,7418120,4712,0,110718
36,1,60,60대,1,0,0,1,4,1,0,1,1,0,1,14,0,26,5238,3,0,18530,1092710,71,112873.23943661973,8014000,9106710,15390,0,128263
37,1,48,40대,1,1,3,1,3,0,0,0,0,0,0,0,0,57,5190,5,0,21810,261480,24,23858.33333333333,572600,834080,10895,0,34753
38,0,60,60대,1,1,3,1,7,1,0,0,0,0,1,23,0,46,4994,3,0,28590,770660,39,87438.46153846153,3410100,4180760,19760,0,107198
39,0,69,60대,0,0,0,0,0,1,0,1,0,0,1,27,1,89,3475,2,0,49720,99440,2,58166.66666666666,174500,273940,49720,0,136970
40,1,20,20대,0,0,0,0,0,0,1,0,1,1,1,59,0,54,2297,3,0,55260,1492280,39,91143.58974358976,3554600,5046880,38263,0,129407
